Código,Município,IDEB_05,IDEB_07,IDEB_09,IDEB_11,IDEB_13,IDEB_15,IDEB_17,IDEB_19,Projetos_20,Instituições_20,Beneficiados_20,IDEB_23,Projetos_23,Instituições_23,Beneficiados_23
2500403, Alagoa Nova, 2.3, 2.7, 2.6, 3.3, 3.1, 3.2, 3.3, 3.7, 3, 72, 5 096, 3.7, 2, 68, 6 698
2501704, Bananeiras, 2.2, 2.7, 3.0, 3.0, 3.2, 3.0, 2.9, 3.3, 3, 2, 518, 3.8, 2, 2, 536 
2504009, Campina Grande, 2.6, 2.8, 2.7, 2.9, 3.0, 3.4, 3.5, 4.1, 9, 336, 59 226, 4.1, 21, 374, 100 488
2504355, Caturité, 2.9, 2.4, 2.8, 3.0, 3.4, 3.4, 3.7, 3.5, 0, 0, 0, 4.0, 2, 12, 1 966
2506301, Guarabira, 2.5, 2.4, 2.6, 2.4, 3.0, 3.2, 3.3, 3.8, 4, 68, 10 574, 4.1, 2, 58, 11 382   
250690, Ingá, 2.4, 2.4, 2.5, 2.8, 1.9, 2.8, 2.7, 3.4, 4, 46, 3 676, 4.2, 2, 48, 6 094 
2507200, Itatuba, 2.4, 2.0, 2.1, 2.4, 2.9, 2.9, 3.5, 3.3, 0, 0, 0, 3.9, 2, 24, 3 196 
2507507, João Pessoa, 2.6, 3.1, 3.3, 3.6, 3.5, 3.7, 3.9, 4.2, 0, 0, 0, 4.0, 3, 141, 95 570    
250840, Lagoa Seca, 2.5, 2.9, 3.3, 3.1, 3.0, SN, 3.2, 3.4, 0, 0, 0, 4.5, 2, 48, 8 488
2509408, Mogeiro, 2.5, 2.9, 3.0, 3.0, 3.1, 3.3, 3.1, 3.6, 4, 50, 5 088, 3.6, 3, 41, 6 376
2513207, Queimadas, 2.3, 2.4, 2.9, 2.9, 3.0, 3.3, 3.6, 4.5, 5, 105, 22 992, 5.7, 2, 44, 14 626
251370, Santa Rita, 2.2, 2.4, 2.4, 2.8, 2.5, 2.9, 2.9, 3.4, 4, 86, 24 512, 3.7, 40, 90, 32 418
2515807, Serra Redonda, 2.1, 2.5, 2.1, 2.1, 2.8, 2.8, 2.7, 2.8, 3, 26, 1 356, 3.1, 2, 24, 1 718

